id,place_id/id,other_id/id,relation,source
link_r8672425_r8677247,place_r8672425,place_r8677247,adjacent,osm
link_r8672425_w624653131,place_r8672425,place_w624653131,adjacent,osm
link_r8672425_w624646391,place_r8672425,place_w624646391,adjacent,osm
link_r8672425_r8677159,place_r8672425,place_r8677159,adjacent,osm
link_r8672425_r8672117,place_r8672425,place_r8672117,adjacent,osm
link_r8672425_w522696530,place_r8672425,place_w522696530,adjacent,osm
link_w212300884_w624379045,place_w212300884,place_w624379045,adjacent,osm
link_w212300884_r8672852,place_w212300884,place_r8672852,adjacent,osm
link_w212300884_w624403416,place_w212300884,place_w624403416,adjacent,osm
link_w212300884_r8673217,place_w212300884,place_r8673217,adjacent,osm
link_w212300884_r8672331,place_w212300884,place_r8672331,adjacent,osm
link_w212300884_w522691662,place_w212300884,place_w522691662,adjacent,osm
link_w212300884_r8672348,place_w212300884,place_r8672348,adjacent,osm
link_w212300884_w500283365,place_w212300884,place_w500283365,adjacent,osm
link_w212300884_r8677247,place_w212300884,place_r8677247,adjacent,osm
link_w212300884_w624653131,place_w212300884,place_w624653131,adjacent,osm
link_w212300884_w624646391,place_w212300884,place_w624646391,adjacent,osm
link_w212300884_r8677159,place_w212300884,place_r8677159,adjacent,osm
link_w212300884_r8672117,place_w212300884,place_r8672117,adjacent,osm
link_w212300884_w522696530,place_w212300884,place_w522696530,adjacent,osm
link_r8670265_r8670494,place_r8670265,place_r8670494,adjacent,osm
link_r8670265_r8670389,place_r8670265,place_r8670389,adjacent,osm
link_r8670265_w624205513,place_r8670265,place_w624205513,adjacent,osm
link_r8670265_r8681826,place_r8670265,place_r8681826,adjacent,osm
link_r8670265_r8670235,place_r8670265,place_r8670235,adjacent,osm
link_r8670265_r8686207,place_r8670265,place_r8686207,adjacent,osm
link_r8670265_w625144756,place_r8670265,place_w625144756,adjacent,osm
link_w212301637_r8670494,place_w212301637,place_r8670494,adjacent,osm
link_w212301637_r8670389,place_w212301637,place_r8670389,adjacent,osm
link_w212301637_w624205513,place_w212301637,place_w624205513,adjacent,osm
link_w212301637_r8681826,place_w212301637,place_r8681826,adjacent,osm
link_w212301637_r8670235,place_w212301637,place_r8670235,adjacent,osm
link_w212301637_r8686207,place_w212301637,place_r8686207,adjacent,osm
link_w212301637_w625144756,place_w212301637,place_w625144756,adjacent,osm
link_r8670395_r8670462,place_r8670395,place_r8670462,adjacent,osm
link_r8670395_w624210388,place_r8670395,place_w624210388,adjacent,osm
link_r8670395_w624722706,place_r8670395,place_w624722706,adjacent,osm
link_r8670395_r8678166,place_r8670395,place_r8678166,adjacent,osm
link_r8670395_r8685790,place_r8670395,place_r8685790,adjacent,osm
link_r8670395_w625139580,place_r8670395,place_w625139580,adjacent,osm
link_r8670395_r8678040,place_r8670395,place_r8678040,adjacent,osm
link_r8670395_w624712247,place_r8670395,place_w624712247,adjacent,osm
link_w212301643_r8670462,place_w212301643,place_r8670462,adjacent,osm
link_w212301643_w624210388,place_w212301643,place_w624210388,adjacent,osm
link_w212301643_w624722706,place_w212301643,place_w624722706,adjacent,osm
link_w212301643_r8678166,place_w212301643,place_r8678166,adjacent,osm
link_w212301643_r8685790,place_w212301643,place_r8685790,adjacent,osm
link_w212301643_w625139580,place_w212301643,place_w625139580,adjacent,osm
link_w212301643_r8678040,place_w212301643,place_r8678040,adjacent,osm
link_w212301643_w624712247,place_w212301643,place_w624712247,adjacent,osm
link_r8670318_r8677853,place_r8670318,place_r8677853,adjacent,osm
link_r8670318_w624700103,place_r8670318,place_w624700103,adjacent,osm
link_r8670318_w490620258,place_r8670318,place_w490620258,adjacent,osm
link_r8670318_r8672226,place_r8670318,place_r8672226,adjacent,osm
link_r8670318_r8670268,place_r8670318,place_r8670268,adjacent,osm
link_r8670318_w212701880,place_r8670318,place_w212701880,adjacent,osm
link_r8670318_r8686207,place_r8670318,place_r8686207,adjacent,osm
link_r8670318_w625144756,place_r8670318,place_w625144756,adjacent,osm
link_w212701878_r8677853,place_w212701878,place_r8677853,adjacent,osm
link_w212701878_w624700103,place_w212701878,place_w624700103,adjacent,osm
link_w212701878_w490620258,place_w212701878,place_w490620258,adjacent,osm
link_w212701878_r8672226,place_w212701878,place_r8672226,adjacent,osm
link_w212701878_r8670268,place_w212701878,place_r8670268,adjacent,osm
link_w212701878_w212701880,place_w212701878,place_w212701880,adjacent,osm
link_w212701878_r8686207,place_w212701878,place_r8686207,adjacent,osm
link_w212701878_w625144756,place_w212701878,place_w625144756,adjacent,osm
link_r8670268_r8677853,place_r8670268,place_r8677853,adjacent,osm
link_r8670268_w624700103,place_r8670268,place_w624700103,adjacent,osm
link_r8670268_r8670056,place_r8670268,place_r8670056,adjacent,osm
link_r8670268_r8686207,place_r8670268,place_r8686207,adjacent,osm
link_r8670268_w625144756,place_r8670268,place_w625144756,adjacent,osm
link_r8670268_r8670162,place_r8670268,place_r8670162,adjacent,osm
link_w212701880_r8677853,place_w212701880,place_r8677853,adjacent,osm
link_w212701880_w624700103,place_w212701880,place_w624700103,adjacent,osm
link_w212701880_r8670056,place_w212701880,place_r8670056,adjacent,osm
link_w212701880_r8686207,place_w212701880,place_r8686207,adjacent,osm
link_w212701880_w625144756,place_w212701880,place_w625144756,adjacent,osm
link_w212701880_r8670162,place_w212701880,place_r8670162,adjacent,osm
link_r6758970_r6557030,place_r6758970,place_r6557030,adjacent,osm
link_r6846378_r6557030,place_r6846378,place_r6557030,adjacent,osm
link_w326603932_r16739154,place_w326603932,place_r16739154,adjacent,osm
link_r8672701_r8672646,place_r8672701,place_r8672646,adjacent,osm
link_r8672701_w624359457,place_r8672701,place_w624359457,adjacent,osm
link_r8672701_r8672629,place_r8672701,place_r8672629,adjacent,osm
link_r8672701_w624373879,place_r8672701,place_w624373879,adjacent,osm
link_r8672701_r8672809,place_r8672701,place_r8672809,adjacent,osm
link_w326747145_r8672646,place_w326747145,place_r8672646,adjacent,osm
link_w326747145_w624359457,place_w326747145,place_w624359457,adjacent,osm
link_w326747145_r8672629,place_w326747145,place_r8672629,adjacent,osm
link_w326747145_w624373879,place_w326747145,place_w624373879,adjacent,osm
link_w326747145_r8672809,place_w326747145,place_r8672809,adjacent,osm
link_r8681365_w624906846,place_r8681365,place_w624906846,adjacent,osm
link_r8681365_r8681356,place_r8681365,place_r8681356,adjacent,osm
link_w430745038_r5712345,place_w430745038,place_r5712345,adjacent,osm
link_r8672486_r8672561,place_r8672486,place_r8672561,adjacent,osm
link_r8672486_w624354128,place_r8672486,place_w624354128,adjacent,osm
link_r8672486_r8686636,place_r8672486,place_r8686636,adjacent,osm
link_r8672486_w625155083,place_r8672486,place_w625155083,adjacent,osm
link_r8672486_r8672518,place_r8672486,place_r8672518,adjacent,osm
link_r8672486_w571020864,place_r8672486,place_w571020864,adjacent,osm
link_r8672486_r8672446,place_r8672486,place_r8672446,adjacent,osm
link_r8672486_w500284864,place_r8672486,place_w500284864,adjacent,osm
link_w433917747_r8672561,place_w433917747,place_r8672561,adjacent,osm
link_w433917747_w624354128,place_w433917747,place_w624354128,adjacent,osm
link_w433917747_r8686636,place_w433917747,place_r8686636,adjacent,osm
link_w433917747_w625155083,place_w433917747,place_w625155083,adjacent,osm
link_w433917747_r8672518,place_w433917747,place_r8672518,adjacent,osm
link_w433917747_w571020864,place_w433917747,place_w571020864,adjacent,osm
link_w433917747_r8672446,place_w433917747,place_r8672446,adjacent,osm
link_w433917747_w500284864,place_w433917747,place_w500284864,adjacent,osm
link_r17351599_r17351642,place_r17351599,place_r17351642,adjacent,osm
link_r6557745_r6558217,place_r6557745,place_r6558217,adjacent,osm
link_r6557745_r6558175,place_r6557745,place_r6558175,adjacent,osm
link_r6558803_r6557976,place_r6558803,place_r6557976,adjacent,osm
link_r6557023_r9473587,place_r6557023,place_r9473587,adjacent,osm
link_r6557023_r6558580,place_r6557023,place_r6558580,adjacent,osm
link_r6557023_r6556713,place_r6557023,place_r6556713,adjacent,osm
link_r17341109_r13321641,place_r17341109,place_r13321641,adjacent,osm
link_r6827274_r6557030,place_r6827274,place_r6557030,adjacent,osm
link_r18718111_r19317835,place_r18718111,place_r19317835,adjacent,osm
link_r18718111_r19248624,place_r18718111,place_r19248624,adjacent,osm
link_r18718218_r18718077,place_r18718218,place_r18718077,adjacent,osm
link_r19300795_r19291574,place_r19300795,place_r19291574,adjacent,osm
link_r17812578_r8689473,place_r17812578,place_r8689473,adjacent,osm
link_r8672226_w624320861,place_r8672226,place_w624320861,adjacent,osm
link_r8672226_r8672284,place_r8672226,place_r8672284,adjacent,osm
link_r8672226_w624309914,place_r8672226,place_w624309914,adjacent,osm
link_r8672226_r8672106,place_r8672226,place_r8672106,adjacent,osm
link_r8672226_w625034685,place_r8672226,place_w625034685,adjacent,osm
link_r8672226_r8682362,place_r8672226,place_r8682362,adjacent,osm
link_r8672226_r8677853,place_r8672226,place_r8677853,adjacent,osm
link_r8672226_w624700103,place_r8672226,place_w624700103,adjacent,osm
link_r8672226_r8670423,place_r8672226,place_r8670423,adjacent,osm
link_r8672226_r8670494,place_r8672226,place_r8670494,adjacent,osm
link_r8672226_r8686207,place_r8672226,place_r8686207,adjacent,osm
link_r8672226_w625144756,place_r8672226,place_w625144756,adjacent,osm
link_w490620258_w624320861,place_w490620258,place_w624320861,adjacent,osm
link_w490620258_r8672284,place_w490620258,place_r8672284,adjacent,osm
link_w490620258_w624309914,place_w490620258,place_w624309914,adjacent,osm
link_w490620258_r8672106,place_w490620258,place_r8672106,adjacent,osm
link_w490620258_w625034685,place_w490620258,place_w625034685,adjacent,osm
link_w490620258_r8682362,place_w490620258,place_r8682362,adjacent,osm
link_w490620258_r8677853,place_w490620258,place_r8677853,adjacent,osm
link_w490620258_w624700103,place_w490620258,place_w624700103,adjacent,osm
link_w490620258_r8670423,place_w490620258,place_r8670423,adjacent,osm
link_w490620258_r8670494,place_w490620258,place_r8670494,adjacent,osm
link_w490620258_r8686207,place_w490620258,place_r8686207,adjacent,osm
link_w490620258_w625144756,place_w490620258,place_w625144756,adjacent,osm
link_r8672348_w624403416,place_r8672348,place_w624403416,adjacent,osm
link_r8672348_r8673217,place_r8672348,place_r8673217,adjacent,osm
link_r8672348_r8672331,place_r8672348,place_r8672331,adjacent,osm
link_r8672348_w522691662,place_r8672348,place_w522691662,adjacent,osm
link_w500283365_w624403416,place_w500283365,place_w624403416,adjacent,osm
link_w500283365_r8673217,place_w500283365,place_r8673217,adjacent,osm
link_w500283365_r8672331,place_w500283365,place_r8672331,adjacent,osm
link_w500283365_w522691662,place_w500283365,place_w522691662,adjacent,osm
link_r8672446_r8686636,place_r8672446,place_r8686636,adjacent,osm
link_r8672446_w625155083,place_r8672446,place_w625155083,adjacent,osm
link_r8672446_r8672518,place_r8672446,place_r8672518,adjacent,osm
link_r8672446_w571020864,place_r8672446,place_w571020864,adjacent,osm
link_r8672446_w624403416,place_r8672446,place_w624403416,adjacent,osm
link_r8672446_r8673217,place_r8672446,place_r8673217,adjacent,osm
link_w500284864_r8686636,place_w500284864,place_r8686636,adjacent,osm
link_w500284864_w625155083,place_w500284864,place_w625155083,adjacent,osm
link_w500284864_r8672518,place_w500284864,place_r8672518,adjacent,osm
link_w500284864_w571020864,place_w500284864,place_w571020864,adjacent,osm
link_w500284864_w624403416,place_w500284864,place_w624403416,adjacent,osm
link_w500284864_r8673217,place_w500284864,place_r8673217,adjacent,osm
link_r8670230_r8653426,place_r8670230,place_r8653426,adjacent,osm
link_w514904975_r8653426,place_w514904975,place_r8653426,adjacent,osm
link_r8654364_r8685790,place_r8654364,place_r8685790,adjacent,osm
link_r8654364_w625139580,place_r8654364,place_w625139580,adjacent,osm
link_r8654364_r8678040,place_r8654364,place_r8678040,adjacent,osm
link_r8654364_w624712247,place_r8654364,place_w624712247,adjacent,osm
link_r8654364_r8681740,place_r8654364,place_r8681740,adjacent,osm
link_r8654364_r19059693,place_r8654364,place_r19059693,adjacent,osm
link_w521108621_r8685790,place_w521108621,place_r8685790,adjacent,osm
link_w521108621_w625139580,place_w521108621,place_w625139580,adjacent,osm
link_w521108621_r8678040,place_w521108621,place_r8678040,adjacent,osm
link_w521108621_w624712247,place_w521108621,place_w624712247,adjacent,osm
link_w521108621_r8681740,place_w521108621,place_r8681740,adjacent,osm
link_w521108621_r19059693,place_w521108621,place_r19059693,adjacent,osm
link_r8672331_w624379045,place_r8672331,place_w624379045,adjacent,osm
link_r8672331_r8672852,place_r8672331,place_r8672852,adjacent,osm
link_r8672331_w624403416,place_r8672331,place_w624403416,adjacent,osm
link_r8672331_r8673217,place_r8672331,place_r8673217,adjacent,osm
link_w522691662_w624379045,place_w522691662,place_w624379045,adjacent,osm
link_w522691662_r8672852,place_w522691662,place_r8672852,adjacent,osm
link_w522691662_w624403416,place_w522691662,place_w624403416,adjacent,osm
link_w522691662_r8673217,place_w522691662,place_r8673217,adjacent,osm
link_r8672117_w624646391,place_r8672117,place_w624646391,adjacent,osm
link_r8672117_r8677159,place_r8672117,place_r8677159,adjacent,osm
link_r8672117_r8677147,place_r8672117,place_r8677147,adjacent,osm
link_r8672117_w624645059,place_r8672117,place_w624645059,adjacent,osm
link_r8672117_w624643621,place_r8672117,place_w624643621,adjacent,osm
link_r8672117_r8677134,place_r8672117,place_r8677134,adjacent,osm
link_r8672117_r8670095,place_r8672117,place_r8670095,adjacent,osm
link_r8672117_r8669855,place_r8672117,place_r8669855,adjacent,osm
link_r8672117_w624175094,place_r8672117,place_w624175094,adjacent,osm
link_r8672117_w624728328,place_r8672117,place_w624728328,adjacent,osm
link_r8672117_r8678218,place_r8672117,place_r8678218,adjacent,osm
link_r8672117_r8686315,place_r8672117,place_r8686315,adjacent,osm
link_r8672117_w625147273,place_r8672117,place_w625147273,adjacent,osm
link_w522696530_w624646391,place_w522696530,place_w624646391,adjacent,osm
link_w522696530_r8677159,place_w522696530,place_r8677159,adjacent,osm
link_w522696530_r8677147,place_w522696530,place_r8677147,adjacent,osm
link_w522696530_w624645059,place_w522696530,place_w624645059,adjacent,osm
link_w522696530_w624643621,place_w522696530,place_w624643621,adjacent,osm
link_w522696530_r8677134,place_w522696530,place_r8677134,adjacent,osm
link_w522696530_r8670095,place_w522696530,place_r8670095,adjacent,osm
link_w522696530_r8669855,place_w522696530,place_r8669855,adjacent,osm
link_w522696530_w624175094,place_w522696530,place_w624175094,adjacent,osm
link_w522696530_w624728328,place_w522696530,place_w624728328,adjacent,osm
link_w522696530_r8678218,place_w522696530,place_r8678218,adjacent,osm
link_w522696530_r8686315,place_w522696530,place_r8686315,adjacent,osm
link_w522696530_w625147273,place_w522696530,place_w625147273,adjacent,osm
link_w528954411_r8814068,place_w528954411,place_r8814068,adjacent,osm
link_r8040905_r8040883,place_r8040905,place_r8040883,adjacent,osm
link_r6793841_r6557030,place_r6793841,place_r6557030,adjacent,osm
link_r8672518_r8672561,place_r8672518,place_r8672561,adjacent,osm
link_r8672518_w624354128,place_r8672518,place_w624354128,adjacent,osm
link_r8672518_w624403416,place_r8672518,place_w624403416,adjacent,osm
link_r8672518_r8673217,place_r8672518,place_r8673217,adjacent,osm
link_r8672518_w624362030,place_r8672518,place_w624362030,adjacent,osm
link_r8672518_r8672658,place_r8672518,place_r8672658,adjacent,osm
link_r8672518_w625151102,place_r8672518,place_w625151102,adjacent,osm
link_r8672518_r8686476,place_r8672518,place_r8686476,adjacent,osm
link_w571020864_r8672561,place_w571020864,place_r8672561,adjacent,osm
link_w571020864_w624354128,place_w571020864,place_w624354128,adjacent,osm
link_w571020864_w624403416,place_w571020864,place_w624403416,adjacent,osm
link_w571020864_r8673217,place_w571020864,place_r8673217,adjacent,osm
link_w571020864_w624362030,place_w571020864,place_w624362030,adjacent,osm
link_w571020864_r8672658,place_w571020864,place_r8672658,adjacent,osm
link_w571020864_w625151102,place_w571020864,place_w625151102,adjacent,osm
link_w571020864_r8686476,place_w571020864,place_r8686476,adjacent,osm
link_r16012896_r8682639,place_r16012896,place_r8682639,adjacent,osm
link_w623063916_w623071012,place_w623063916,place_w623071012,adjacent,osm
link_w623063916_w623097513,place_w623063916,place_w623097513,adjacent,osm
link_w623071012_w623075669,place_w623071012,place_w623075669,adjacent,osm
link_w623071012_r8649534,place_w623071012,place_r8649534,adjacent,osm
link_w623071012_w623097513,place_w623071012,place_w623097513,adjacent,osm
link_r8649469_r8649618,place_r8649469,place_r8649618,adjacent,osm
link_r8649469_w623084626,place_r8649469,place_w623084626,adjacent,osm
link_w623072840_r8649618,place_w623072840,place_r8649618,adjacent,osm
link_w623072840_w623084626,place_w623072840,place_w623084626,adjacent,osm
link_r8649534_r8669559,place_r8649534,place_r8669559,adjacent,osm
link_r8649534_w623091792,place_r8649534,place_w623091792,adjacent,osm
link_r8649534_w677423741,place_r8649534,place_w677423741,adjacent,osm
link_r8649534_w624157346,place_r8649534,place_w624157346,adjacent,osm
link_r8649534_w623087257,place_r8649534,place_w623087257,adjacent,osm
link_r8649534_w623097513,place_r8649534,place_w623097513,adjacent,osm
link_w623075669_r8669559,place_w623075669,place_r8669559,adjacent,osm
link_w623075669_w623091792,place_w623075669,place_w623091792,adjacent,osm
link_w623075669_w677423741,place_w623075669,place_w677423741,adjacent,osm
link_w623075669_w624157346,place_w623075669,place_w624157346,adjacent,osm
link_w623075669_w623087257,place_w623075669,place_w623087257,adjacent,osm
link_w623075669_w623097513,place_w623075669,place_w623097513,adjacent,osm
link_r8649618_w623995653,place_r8649618,place_w623995653,adjacent,osm
link_r8649618_r8665119,place_r8649618,place_r8665119,adjacent,osm
link_w623084626_w623995653,place_w623084626,place_w623995653,adjacent,osm
link_w623084626_r8665119,place_w623084626,place_r8665119,adjacent,osm
link_w623087257_w623281847,place_w623087257,place_w623281847,adjacent,osm
link_r8649657_w623099007,place_r8649657,place_w623099007,adjacent,osm
link_r8649657_r8649796,place_r8649657,place_r8649796,adjacent,osm
link_w623090339_w623099007,place_w623090339,place_w623099007,adjacent,osm
link_w623090339_r8649796,place_w623090339,place_r8649796,adjacent,osm
link_w623097513_r8653378,place_w623097513,place_r8653378,adjacent,osm
link_r8649796_r8666277,place_r8649796,place_r8666277,adjacent,osm
link_w623099007_r8666277,place_w623099007,place_r8666277,adjacent,osm
link_w623281847_r8653378,place_w623281847,place_r8653378,adjacent,osm
link_r8653364_r8653378,place_r8653364,place_r8653378,adjacent,osm
link_r8653364_w1339228880,place_r8653364,place_w1339228880,adjacent,osm
link_w623283208_r8653378,place_w623283208,place_r8653378,adjacent,osm
link_w623283208_w1339228880,place_w623283208,place_w1339228880,adjacent,osm
link_w623330808_w623989852,place_w623330808,place_w623989852,adjacent,osm
link_w623330808_r8653458,place_w623330808,place_r8653458,adjacent,osm
link_w623330808_w1339228880,place_w623330808,place_w1339228880,adjacent,osm
link_w623330808_w624026635,place_w623330808,place_w624026635,adjacent,osm
link_w623330808_r8665112,place_w623330808,place_r8665112,adjacent,osm
link_w623989852_r8666293,place_w623989852,place_r8666293,adjacent,osm
link_w623989852_w624063524,place_w623989852,place_w624063524,adjacent,osm
link_w623989852_r8665551,place_w623989852,place_r8665551,adjacent,osm
link_w623989852_r8653458,place_w623989852,place_r8653458,adjacent,osm
link_w623989852_w624026635,place_w623989852,place_w624026635,adjacent,osm
link_w623989852_r8665112,place_w623989852,place_r8665112,adjacent,osm
link_r8665119_w624756055,place_r8665119,place_w624756055,adjacent,osm
link_r8665119_r8678532,place_r8665119,place_r8678532,adjacent,osm
link_w623995653_w624756055,place_w623995653,place_w624756055,adjacent,osm
link_w623995653_r8678532,place_w623995653,place_r8678532,adjacent,osm
link_r8665137_r8666199,place_r8665137,place_r8666199,adjacent,osm
link_r8665112_r8653458,place_r8665112,place_r8653458,adjacent,osm
link_r8665112_w1339228880,place_r8665112,place_w1339228880,adjacent,osm
link_w624026635_r8653458,place_w624026635,place_r8653458,adjacent,osm
link_w624026635_w1339228880,place_w624026635,place_w1339228880,adjacent,osm
link_r8665482_w624027996,place_r8665482,place_w624027996,adjacent,osm
link_r8665482_w624308691,place_r8665482,place_w624308691,adjacent,osm
link_r8665482_r8673682,place_r8665482,place_r8673682,adjacent,osm
link_r8665482_w624430286,place_r8665482,place_w624430286,adjacent,osm
link_r8665482_w624433211,place_r8665482,place_w624433211,adjacent,osm
link_r8665482_r8673779,place_r8665482,place_r8673779,adjacent,osm
link_w624027996_w624308691,place_w624027996,place_w624308691,adjacent,osm
link_w624027996_r8673682,place_w624027996,place_r8673682,adjacent,osm
link_w624027996_w624430286,place_w624027996,place_w624430286,adjacent,osm
link_w624027996_w624433211,place_w624027996,place_w624433211,adjacent,osm
link_w624027996_r8673779,place_w624027996,place_r8673779,adjacent,osm
link_r8665520_w624033489,place_r8665520,place_w624033489,adjacent,osm
link_w624031818_w624033489,place_w624031818,place_w624033489,adjacent,osm
link_r8665525_w1475502071,place_r8665525,place_w1475502071,adjacent,osm
link_r8665525_w624164568,place_r8665525,place_w624164568,adjacent,osm
link_r8665525_w624809917,place_r8665525,place_w624809917,adjacent,osm
link_r8665525_r20192592,place_r8665525,place_r20192592,adjacent,osm
link_w624031912_w1475502071,place_w624031912,place_w1475502071,adjacent,osm
link_w624031912_w624164568,place_w624031912,place_w624164568,adjacent,osm
link_w624031912_w624809917,place_w624031912,place_w624809917,adjacent,osm
link_w624031912_r20192592,place_w624031912,place_r20192592,adjacent,osm
link_r8665551_r8665580,place_r8665551,place_r8665580,adjacent,osm
link_r8665551_w624041903,place_r8665551,place_w624041903,adjacent,osm
link_r8665580_w624056643,place_r8665580,place_w624056643,adjacent,osm
link_w624041903_w624056643,place_w624041903,place_w624056643,adjacent,osm
link_r8666070_w624059479,place_r8666070,place_w624059479,adjacent,osm
link_r8666070_r8666277,place_r8666070,place_r8666277,adjacent,osm
link_r8666070_w624056643,place_r8666070,place_w624056643,adjacent,osm
link_r8666070_w624057067,place_r8666070,place_w624057067,adjacent,osm
link_w624055781_w624059479,place_w624055781,place_w624059479,adjacent,osm
link_w624055781_r8666277,place_w624055781,place_r8666277,adjacent,osm
link_w624055781_w624056643,place_w624055781,place_w624056643,adjacent,osm
link_w624055781_w624057067,place_w624055781,place_w624057067,adjacent,osm
link_r8666200_r8665560,place_r8666200,place_r8665560,adjacent,osm
link_r8666200_r8669726,place_r8666200,place_r8669726,adjacent,osm
link_r8666200_r8666213,place_r8666200,place_r8666213,adjacent,osm
link_r8666200_r8666437,place_r8666200,place_r8666437,adjacent,osm
link_w624056643_w624057067,place_w624056643,place_w624057067,adjacent,osm
link_w624059479_r8666277,place_w624059479,place_r8666277,adjacent,osm
link_w624060585_r8666277,place_w624060585,place_r8666277,adjacent,osm
link_r8666293_w624073801,place_r8666293,place_w624073801,adjacent,osm
link_r8666293_w624066343,place_r8666293,place_w624066343,adjacent,osm
link_w624063524_w624073801,place_w624063524,place_w624073801,adjacent,osm
link_w624063524_w624066343,place_w624063524,place_w624066343,adjacent,osm
link_w624066343_r8669656,place_w624066343,place_r8669656,adjacent,osm
link_r8666341_w624356271,place_r8666341,place_w624356271,adjacent,osm
link_w624066609_w624356271,place_w624066609,place_w624356271,adjacent,osm
link_w624157346_r8669593,place_w624157346,place_r8669593,adjacent,osm
link_w624163559_w624164568,place_w624163559,place_w624164568,adjacent,osm
link_w624163559_r8669619,place_w624163559,place_r8669619,adjacent,osm
link_w624164568_w624809917,place_w624164568,place_w624809917,adjacent,osm
link_w624164568_r20192592,place_w624164568,place_r20192592,adjacent,osm
link_r8669713_r20193911,place_r8669713,place_r20193911,adjacent,osm
link_r8669713_r8669623,place_r8669713,place_r8669623,adjacent,osm
link_r8669713_r8672225,place_r8669713,place_r8672225,adjacent,osm
link_r8669713_r8672398,place_r8669713,place_r8672398,adjacent,osm
link_w624166327_w682047549,place_w624166327,place_w682047549,adjacent,osm
link_w624167869_w1475309196,place_w624167869,place_w1475309196,adjacent,osm
link_w624167869_r20190565,place_w624167869,place_r20190565,adjacent,osm
link_r8669855_w624643621,place_r8669855,place_w624643621,adjacent,osm
link_r8669855_r8677134,place_r8669855,place_r8677134,adjacent,osm
link_r8669855_w624728328,place_r8669855,place_w624728328,adjacent,osm
link_r8669855_r8678218,place_r8669855,place_r8678218,adjacent,osm
link_r8669855_r8686315,place_r8669855,place_r8686315,adjacent,osm
link_r8669855_w625147273,place_r8669855,place_w625147273,adjacent,osm
link_r8669855_r8672144,place_r8669855,place_r8672144,adjacent,osm
link_r8669855_w624312824,place_r8669855,place_w624312824,adjacent,osm
link_r8669855_w624309914,place_r8669855,place_w624309914,adjacent,osm
link_r8669855_r8672106,place_r8669855,place_r8672106,adjacent,osm
link_r8670095_w624643621,place_r8670095,place_w624643621,adjacent,osm
link_r8670095_r8677134,place_r8670095,place_r8677134,adjacent,osm
link_r8670095_w624728328,place_r8670095,place_w624728328,adjacent,osm
link_r8670095_r8678218,place_r8670095,place_r8678218,adjacent,osm
link_r8670095_r8686315,place_r8670095,place_r8686315,adjacent,osm
link_r8670095_w625147273,place_r8670095,place_w625147273,adjacent,osm
link_r8670095_r8672144,place_r8670095,place_r8672144,adjacent,osm
